asv_code	file_code	n_reads
asv_0D4_00775	CTD-18S-214	39
asv_0D4_00782	CTD-18S-214	27
asv_0D4_00787	CTD-18S-214	29
asv_0D4_00788	CTD-18S-214	29
asv_0D4_00813	CTD-18S-214	70
asv_0D4_00821	CTD-18S-214	79
asv_0D4_00831	CTD-18S-214	28
asv_0D4_00841	CTD-18S-214	60
asv_0D4_00842	CTD-18S-214	70
asv_0D4_00857	CTD-18S-214	32
asv_0D4_00911	CTD-18S-214	12
asv_0D4_00921	CTD-18S-214	13
asv_0D4_00953	CTD-18S-214	11
asv_0D4_01020	CTD-18S-214	9
asv_0D4_01041	CTD-18S-214	78
asv_0D4_01051	CTD-18S-214	93
asv_0D4_01058	CTD-18S-214	29
asv_0D4_01062	CTD-18S-214	6
asv_0D4_01079	CTD-18S-214	17
asv_0D4_01095	CTD-18S-214	21
asv_0D4_01126	CTD-18S-214	11
asv_0D4_01177	CTD-18S-214	5
asv_0D4_01198	CTD-18S-214	16
asv_0D4_01204	CTD-18S-214	22
asv_0D4_01212	CTD-18S-214	20
asv_0D4_01338	CTD-18S-214	22
asv_0D4_01375	CTD-18S-214	17
asv_0D4_01388	CTD-18S-214	40
asv_0D4_01398	CTD-18S-214	32
asv_0D4_01406	CTD-18S-214	62
asv_0D4_01407	CTD-18S-214	23
asv_0D4_01415	CTD-18S-214	7
asv_0D4_01433	CTD-18S-214	9
asv_0D4_01434	CTD-18S-214	12
asv_0D4_01442	CTD-18S-214	8
asv_0D4_01452	CTD-18S-214	22
asv_0D4_01472	CTD-18S-214	5
asv_0D4_01489	CTD-18S-214	7
asv_0D4_01490	CTD-18S-214	5
asv_0D4_01528	CTD-18S-214	16
asv_0D4_01560	CTD-18S-214	11
asv_0D4_01580	CTD-18S-214	23
asv_0D4_01605	CTD-18S-214	16
asv_0D4_01612	CTD-18S-214	4
asv_0D4_01637	CTD-18S-214	31
asv_0D4_01638	CTD-18S-214	15
asv_0D4_01661	CTD-18S-214	26
asv_0D4_01682	CTD-18S-214	34
asv_0D4_01699	CTD-18S-214	33
asv_0D4_01716	CTD-18S-214	10
asv_0D4_01760	CTD-18S-214	9
asv_0D4_01772	CTD-18S-214	25
asv_0D4_01773	CTD-18S-214	9
asv_0D4_01805	CTD-18S-214	24
asv_0D4_01806	CTD-18S-214	7
asv_0D4_01847	CTD-18S-214	15
asv_0D4_01865	CTD-18S-214	10
asv_0D4_01936	CTD-18S-214	4
asv_0D4_01938	CTD-18S-214	3
asv_0D4_02023	CTD-18S-214	12
asv_0D4_02131	CTD-18S-214	4
asv_0D4_02175	CTD-18S-214	7
asv_0D4_02176	CTD-18S-214	7
asv_0D4_02207	CTD-18S-214	6
asv_0D4_02208	CTD-18S-214	6
asv_0D4_02209	CTD-18S-214	6
asv_0D4_02210	CTD-18S-214	6
asv_0D4_02211	CTD-18S-214	3
asv_0D4_02243	CTD-18S-214	5
asv_0D4_02272	CTD-18S-214	4
asv_0D4_02308	CTD-18S-214	3
asv_0D4_02309	CTD-18S-214	3
asv_0D4_00001	CTD-18S-216	660
asv_0D4_00002	CTD-18S-216	689
asv_0D4_00003	CTD-18S-216	2842
asv_0D4_00004	CTD-18S-216	191
asv_0D4_00005	CTD-18S-216	102
asv_0D4_00006	CTD-18S-216	376
asv_0D4_00007	CTD-18S-216	322
asv_0D4_00008	CTD-18S-216	22
asv_0D4_00010	CTD-18S-216	14
asv_0D4_00011	CTD-18S-216	84
asv_0D4_00012	CTD-18S-216	93
asv_0D4_00013	CTD-18S-216	40
asv_0D4_00015	CTD-18S-216	21
asv_0D4_00017	CTD-18S-216	190
asv_0D4_00018	CTD-18S-216	201
asv_0D4_00019	CTD-18S-216	65
asv_0D4_00020	CTD-18S-216	100
asv_0D4_00021	CTD-18S-216	50
asv_0D4_00022	CTD-18S-216	32
asv_0D4_00023	CTD-18S-216	16
asv_0D4_00024	CTD-18S-216	126
asv_0D4_00025	CTD-18S-216	93
asv_0D4_00026	CTD-18S-216	71
asv_0D4_00028	CTD-18S-216	13
asv_0D4_00029	CTD-18S-216	242
asv_0D4_00032	CTD-18S-216	19
asv_0D4_00034	CTD-18S-216	161
asv_0D4_00035	CTD-18S-216	41
asv_0D4_00037	CTD-18S-216	276
asv_0D4_00038	CTD-18S-216	55
asv_0D4_00041	CTD-18S-216	622
asv_0D4_00043	CTD-18S-216	56
asv_0D4_00044	CTD-18S-216	86
asv_0D4_00046	CTD-18S-216	223
asv_0D4_00047	CTD-18S-216	1326
asv_0D4_00049	CTD-18S-216	135
asv_0D4_00050	CTD-18S-216	15
asv_0D4_00051	CTD-18S-216	163
asv_0D4_00055	CTD-18S-216	1667
